v,u,w,p
12.277,-1.82521,0.0290509,-557.151
12.2775,-1.82606,0.0292037,-557.026
12.2781,-1.82686,0.0293558,-556.979
12.2786,-1.82762,0.0294954,-556.862
12.2791,-1.82836,0.0296382,-556.729
12.2797,-1.82906,0.0297602,-556.612
12.2803,-1.82976,0.0298839,-556.565
12.2809,-1.83042,0.0300167,-556.565
12.2815,-1.83095,0.0301375,-556.362
12.2822,-1.83152,0.0302562,-556.276
12.2828,-1.83203,0.0303725,-556.198
12.2835,-1.83253,0.030479,-556.229
12.2842,-1.83294,0.0305891,-556.065
12.2848,-1.83332,0.0306883,-555.932
12.2856,-1.83373,0.0307906,-555.815
12.2863,-1.83407,0.0308831,-555.682
12.287,-1.8349,0.0309718,-555.518
12.2878,-1.83579,0.0310557,-555.432
12.2886,-1.83661,0.0311334,-555.346
12.2893,-1.83743,0.0312103,-555.229
12.2901,-1.83819,0.0312794,-554.963
12.291,-1.83896,0.0313519,-554.963
12.2918,-1.8397,0.0314867,-554.932
12.2926,-1.8404,0.0316251,-554.713
12.2935,-1.84107,0.0317548,-554.635
12.2944,-1.84171,0.031882,-554.432
12.2952,-1.84236,0.0320129,-554.385
12.2961,-1.843,0.0321329,-554.213
12.2971,-1.84364,0.0322562,-554.088
12.298,-1.84421,0.0323684,-553.963
12.2989,-1.84478,0.0324839,-553.916
12.2999,-1.84531,0.0325979,-553.838
12.3009,-1.84586,0.0327084,-553.752
12.3018,-1.84636,0.0328077,-553.581
12.3028,-1.84679,0.0329091,-553.463
12.3038,-1.84723,0.0330162,-553.385
12.3049,-1.84764,0.0331104,-553.213
12.3059,-1.84806,0.0332084,-553.081
12.307,-1.84841,0.0333006,-552.87
12.308,-1.84878,0.0333948,-552.831
12.3091,-1.84915,0.0334831,-552.666
12.3102,-1.84951,0.0335676,-552.534
12.3113,-1.8498,0.0336498,-552.448
12.3124,-1.85008,0.0337302,-552.37
12.3135,-1.85032,0.0338045,-552.252
12.3146,-1.85057,0.0338804,-552.12
12.3158,-1.8508,0.0339489,-551.987
12.3174,-1.85101,0.0340133,-551.901
12.3191,-1.85118,0.0340819,-551.823
12.3208,-1.85136,0.0341402,-551.651
12.3226,-1.85154,0.0341974,-551.62
12.3243,-1.85168,0.0342497,-551.401
12.3261,-1.8518,0.0343009,-551.323
12.3278,-1.85192,0.0343503,-551.198
12.3296,-1.85202,0.0343943,-551.12
12.3314,-1.85207,0.0344297,-550.94
12.3332,-1.85214,0.0344635,-550.815
12.335,-1.85219,0.0344987,-550.768
12.3368,-1.85222,0.0345267,-550.604
12.3386,-1.85223,0.0345517,-550.518
12.3404,-1.85266,0.0345783,-550.401
12.3422,-1.85315,0.0346007,-550.237
12.3441,-1.85363,0.0346196,-550.19
12.3459,-1.85412,0.0346345,-550.065
12.3478,-1.85456,0.0346464,-549.971
12.3496,-1.85497,0.0346561,-549.854
12.3515,-1.85541,0.0346685,-549.682
12.3534,-1.85578,0.0346745,-549.604
12.3553,-1.85616,0.0346787,-549.432
12.3572,-1.8565,0.0346749,-549.307
12.3591,-1.85682,0.0346766,-549.221
12.361,-1.85714,0.0346689,-549.057
12.3629,-1.85741,0.0346644,-549.018
12.3649,-1.85767,0.0346549,-548.838
12.3661,-1.8579,0.034641,-548.721
12.3652,-1.85814,0.0346206,-548.635
12.3633,-1.85834,0.0345954,-548.502
12.3609,-1.85848,0.0345746,-548.471
12.358,-1.85862,0.0345488,-548.338
12.3548,-1.85874,0.0345281,-548.252
12.3514,-1.85883,0.0344926,-548.174
